hotel,arrival_date_year,arrival_date_month,market_segment,customer_type,total_bookings,estimated_revenue,avg_adr,avg_stay_duration
Resort Hotel,2016,February,Online TA,Transient,322,52784.9,58.72,2.84
Resort Hotel,2016,February,Direct,Transient,239,30169.21,56.93,2.11
Resort Hotel,2016,February,Offline TA/TO,Transient,213,43505.03,41.43,4.54
Resort Hotel,2016,February,Offline TA/TO,Transient-Party,19,2771.5,43.14,3.16
Resort Hotel,2016,February,Groups,Transient-Party,26,3466.99,57.03,2.27
Resort Hotel,2016,February,Groups,Transient,2,240.0,60.0,2.0
Resort Hotel,2016,February,Offline TA/TO,Contract,10,3386.01,39.54,7.6
Resort Hotel,2016,March,Offline TA/TO,Transient,240,43706.52,40.09,4.31
Resort Hotel,2016,March,Corporate,Transient,81,4598.0,36.93,1.56
Resort Hotel,2016,March,Direct,Transient,232,35736.9,61.51,2.29
Resort Hotel,2016,March,Online TA,Transient,456,93331.36,62.86,3.11
Resort Hotel,2016,March,Offline TA/TO,Contract,8,2705.11,42.95,8.25
Resort Hotel,2016,March,Groups,Transient-Party,108,26600.42,63.74,3.9
Resort Hotel,2016,March,Online TA,Transient-Party,25,3972.61,63.69,2.24
Resort Hotel,2016,March,Offline TA/TO,Transient-Party,44,5366.96,40.42,2.7
Resort Hotel,2016,April,Groups,Transient-Party,108,23394.46,56.78,4.19
Resort Hotel,2016,April,Offline TA/TO,Transient-Party,43,12101.2,58.53,5.14
Resort Hotel,2016,April,Online TA,Transient,346,91335.2,74.67,3.49
Resort Hotel,2016,April,Groups,Transient,17,2508.14,58.13,2.47
Resort Hotel,2016,April,Offline TA/TO,Transient,173,50989.89,54.69,5.13
Resort Hotel,2016,April,Direct,Transient-Party,27,9226.52,89.37,3.74
Resort Hotel,2016,April,Corporate,Transient,86,7170.7,47.6,1.69
Resort Hotel,2016,April,Direct,Transient,206,46867.64,80.22,2.69
Resort Hotel,2016,April,Online TA,Transient-Party,30,7255.12,77.73,2.9
Resort Hotel,2016,April,Offline TA/TO,Contract,25,13890.84,63.68,8.36
Resort Hotel,2016,May,Offline TA/TO,Transient,172,59121.29,60.06,5.45
Resort Hotel,2016,May,Groups,Transient,5,708.0,70.8,2.0
Resort Hotel,2016,May,Groups,Transient-Party,160,33107.54,59.06,3.43
Resort Hotel,2016,May,Online TA,Transient,390,130455.7,82.66,4.15
Resort Hotel,2016,May,Offline TA/TO,Contract,87,40165.59,53.7,8.22
Resort Hotel,2016,May,Offline TA/TO,Transient-Party,27,10146.92,69.55,4.78
Resort Hotel,2016,May,Online TA,Transient-Party,41,12550.72,84.84,3.95
Resort Hotel,2016,May,Complementary,Transient,5,26.0,1.04,3.0
Resort Hotel,2016,May,Direct,Transient,142,43143.66,88.81,3.3
Resort Hotel,2016,June,Direct,Transient,145,72250.51,124.55,4.06
Resort Hotel,2016,June,Offline TA/TO,Transient,197,122346.93,78.89,7.77
Resort Hotel,2016,June,Offline TA/TO,Transient-Party,13,5130.6,111.23,4.0
Resort Hotel,2016,June,Offline TA/TO,Contract,128,85767.99,69.63,9.55
Resort Hotel,2016,June,Online TA,Transient,337,172487.73,114.23,4.61
Resort Hotel,2016,June,Online TA,Transient-Party,45,13889.87,116.74,2.8
Resort Hotel,2016,June,Corporate,Transient,42,4390.4,65.4,1.43
Resort Hotel,2016,June,Direct,Transient-Party,11,6875.14,110.57,6.27
Resort Hotel,2016,June,Groups,Transient-Party,9,2112.0,78.22,3.33
Resort Hotel,2016,July,Direct,Transient,197,174631.53,179.25,5.07
Resort Hotel,2016,July,Online TA,Transient,394,308126.96,170.82,4.57
Resort Hotel,2016,July,Offline TA/TO,Contract,65,59384.33,98.93,9.25
Resort Hotel,2016,July,Offline TA/TO,Transient-Party,29,18006.95,116.93,5.52
Resort Hotel,2016,July,Offline TA/TO,Transient,179,158375.31,121.25,7.46
Resort Hotel,2016,July,Groups,Transient-Party,6,7224.0,150.5,8.0
Resort Hotel,2016,August,Direct,Transient,228,213665.16,208.47,4.4
Resort Hotel,2016,August,Offline TA/TO,Transient,132,128318.94,132.57,7.46
Resort Hotel,2016,August,Online TA,Transient,526,465997.97,203.78,4.44
Resort Hotel,2016,August,Offline TA/TO,Contract,59,53731.71,92.04,10.15
Resort Hotel,2016,September,Direct,Transient,167,87349.74,142.1,3.83
Resort Hotel,2016,September,Offline TA/TO,Contract,90,64331.29,69.51,10.36
Resort Hotel,2016,September,Offline TA/TO,Transient,133,77770.71,81.47,7.08
Resort Hotel,2016,September,Online TA,Transient,331,171229.96,129.69,4.09
Resort Hotel,2016,September,Groups,Transient-Party,124,45942.27,69.79,5.36
Resort Hotel,2016,September,Groups,Transient,7,2897.6,68.86,6.14
Resort Hotel,2016,September,Corporate,Transient-Party,11,2554.0,83.14,2.91
Resort Hotel,2016,September,Offline TA/TO,Transient-Party,25,4886.16,84.24,2.56
Resort Hotel,2016,October,Offline TA/TO,Transient-Party,4,1102.5,47.73,6.5
Resort Hotel,2016,October,Groups,Transient-Party,296,78157.28,60.3,4.24
Resort Hotel,2016,October,Direct,Transient,204,39897.46,79.5,2.43
Resort Hotel,2016,October,Corporate,Transient,46,3381.0,47.3,1.52
Resort Hotel,2016,October,Corporate,Transient-Party,19,1558.8,52.73,1.47
Resort Hotel,2016,October,Direct,Transient-Party,17,6408.36,66.35,5.0
Resort Hotel,2016,October,Groups,Transient,22,4598.68,55.65,3.09
Resort Hotel,2016,November,Offline TA/TO,Transient,188,48066.29,42.98,5.43
Resort Hotel,2016,December,Offline TA/TO,Transient,99,34203.74,57.68,5.57
Resort Hotel,2017,January,Corporate,Transient,85,4420.6,35.98,1.46
Resort Hotel,2017,February,Corporate,Transient-Party,55,7509.01,42.36,3.16
Resort Hotel,2017,March,Groups,Transient-Party,164,56345.48,49.26,6.97
Resort Hotel,2017,April,Complementary,Transient,6,0.0,0.0,1.33
Resort Hotel,2017,April,Online TA,Transient,373,129222.45,100.77,3.48
Resort Hotel,2017,April,Direct,Transient,173,62767.28,105.53,3.37
Resort Hotel,2017,May,Corporate,Transient,40,2985.0,51.4,1.4
Resort Hotel,2017,August,Corporate,Transient,11,1818.99,125.39,1.36
Resort Hotel,2016,January,Corporate,Transient,73,3865.5,32.99,1.6
Resort Hotel,2017,February,Corporate,Transient,68,4148.7,36.17,1.75
Resort Hotel,2016,September,Corporate,Transient,23,2086.0,68.17,1.35
Resort Hotel,2016,November,Corporate,Transient,82,4210.5,35.03,1.52
Resort Hotel,2016,December,Corporate,Transient,63,2899.4,32.9,1.38
Resort Hotel,2017,April,Corporate,Transient,57,4560.49,52.33,1.65
Resort Hotel,2017,July,Corporate,Transient,17,3604.0,146.71,1.47
Resort Hotel,2017,January,Corporate,Transient-Party,9,583.0,36.28,1.78
Resort Hotel,2017,July,Direct,Transient,230,226434.23,188.13,5.08
Resort Hotel,2016,May,Corporate,Transient,72,7164.52,49.06,1.74
Resort Hotel,2016,March,Complementary,Transient,3,0.0,0.0,2.0
Resort Hotel,2017,June,Corporate,Transient,37,4330.75,81.9,1.41
Resort Hotel,2016,December,Direct,Transient,176,40994.28,80.7,2.63
Resort Hotel,2015,December,Corporate,Transient,58,2452.78,33.19,1.21
Resort Hotel,2017,August,Direct,Transient,218,241948.13,232.08,4.72
Resort Hotel,2017,July,Offline TA/TO,Transient,114,107027.65,136.01,6.75
Resort Hotel,2016,November,Direct,Transient,161,28424.18,64.49,2.7
Resort Hotel,2017,March,Corporate,Transient,106,6512.5,40.58,1.53
Resort Hotel,2017,January,Direct,Transient,219,26608.44,55.46,2.18
Resort Hotel,2017,March,Direct,Transient,152,26579.99,68.54,2.45
Resort Hotel,2017,June,Direct,Transient,200,122272.7,144.83,4.17
Resort Hotel,2016,July,Corporate,Transient,24,2856.2,92.57,1.17
Resort Hotel,2017,June,Online TA,Transient,406,240521.38,127.96,4.73
Resort Hotel,2017,April,Offline TA/TO,Transient-Party,11,1708.9,74.21,1.73
Resort Hotel,2016,April,Complementary,Transient,8,70.5,2.94,1.63
Resort Hotel,2016,November,Online TA,Transient,439,86489.05,54.24,3.68
Resort Hotel,2016,December,Online TA,Transient,361,84198.28,64.06,3.48
Resort Hotel,2016,February,Online TA,Group,8,1585.96,52.46,3.75
Resort Hotel,2016,April,Corporate,Transient-Party,17,831.0,41.12,1.29
Resort Hotel,2016,January,Corporate,Transient-Party,3,220.0,33.33,2.0
Resort Hotel,2017,January,Online TA,Transient,362,66523.89,54.7,3.4
Resort Hotel,2016,May,Corporate,Transient-Party,8,716.0,55.38,2.13
Resort Hotel,2017,February,Direct,Transient,244,33359.97,62.01,2.32
Resort Hotel,2016,October,Online TA,Transient,352,105668.0,76.02,3.93
Resort Hotel,2017,January,Complementary,Group,1,0.0,0.0,3.0
Resort Hotel,2017,April,Groups,Transient-Party,163,65053.67,72.69,5.38
Resort Hotel,2017,February,Online TA,Transient,388,75369.27,60.43,3.17
Resort Hotel,2017,August,Offline TA/TO,Transient,103,111260.91,152.68,7.15
Resort Hotel,2017,March,Online TA,Transient,291,72502.23,69.48,3.61
Resort Hotel,2017,July,Online TA,Transient,520,433957.29,181.44,4.6
Resort Hotel,2017,August,Online TA,Transient-Party,64,57325.37,215.06,4.22
Resort Hotel,2017,August,Online TA,Transient,512,484177.45,218.98,4.33
Resort Hotel,2016,January,Direct,Transient-Party,4,106.0,26.5,1.5
Resort Hotel,2017,May,Direct,Group,3,2627.25,115.75,7.33
Resort Hotel,2016,October,Offline TA/TO,Transient,153,35335.84,53.55,4.18
Resort Hotel,2017,January,Direct,Transient-Party,33,4446.36,60.8,2.18
Resort Hotel,2017,February,Offline TA/TO,Transient,121,40029.51,46.56,6.64
Resort Hotel,2016,December,Groups,Transient-Party,52,15465.7,131.08,2.52
Resort Hotel,2017,March,Online TA,Transient-Party,44,7388.0,63.37,2.89
Resort Hotel,2016,February,Direct,Transient-Party,14,1707.01,52.89,2.57
Resort Hotel,2017,April,Online TA,Group,3,408.44,79.28,1.67
Resort Hotel,2017,May,Online TA,Group,2,211.6,68.3,1.5
Resort Hotel,2017,June,Offline TA/TO,Contract,113,86337.57,82.01,9.19
Resort Hotel,2017,January,Online TA,Transient-Party,62,8984.16,57.31,2.76
Resort Hotel,2017,July,Direct,Transient-Party,18,13259.3,141.46,4.5
Resort Hotel,2015,December,Offline TA/TO,Group,2,56.0,28.0,1.0
Resort Hotel,2017,January,Online TA,Group,8,635.37,33.78,2.0
Resort Hotel,2017,March,Offline TA/TO,Transient,102,40313.65,52.15,7.1
Resort Hotel,2017,May,Online TA,Transient,414,153499.71,98.54,3.7
Resort Hotel,2017,February,Online TA,Transient-Party,76,12151.97,60.65,2.64
Resort Hotel,2016,August,Corporate,Transient,7,970.0,120.71,1.14
Resort Hotel,2016,January,Online TA,Group,6,446.2,44.52,1.67
Resort Hotel,2017,April,Direct,Group,1,85.0,85.0,1.0
Resort Hotel,2017,January,Groups,Transient-Party,69,8357.19,44.68,2.48
Resort Hotel,2015,November,Offline TA/TO,Group,2,185.1,58.15,2.0
Resort Hotel,2016,December,Online TA,Group,10,908.16,52.05,2.3
Resort Hotel,2017,May,Corporate,Transient-Party,12,945.0,55.17,1.25
Resort Hotel,2017,January,Offline TA/TO,Transient,78,16788.1,42.95,4.71
Resort Hotel,2017,May,Direct,Transient,156,66088.71,107.67,3.54
Resort Hotel,2017,August,Direct,Transient-Party,21,27779.56,211.09,6.33
Resort Hotel,2016,August,Direct,Transient-Party,31,38541.36,208.78,5.84
Resort Hotel,2017,April,Online TA,Transient-Party,85,27112.69,93.94,3.47
Resort Hotel,2016,December,Direct,Transient-Party,21,4298.46,95.14,2.19
Resort Hotel,2016,September,Groups,Group,1,391.98,65.33,6.0
Resort Hotel,2017,May,Offline TA/TO,Transient,173,61161.97,63.44,5.36
Resort Hotel,2016,March,Online TA,Group,2,323.8,59.7,2.5
Resort Hotel,2017,April,Offline TA/TO,Group,3,838.25,63.72,4.67
Resort Hotel,2016,December,Online TA,Transient-Party,75,20591.82,67.01,3.85
Resort Hotel,2015,October,Groups,Group,1,0.0,0.0,10.0
Resort Hotel,2017,April,Complementary,Transient-Party,1,0.0,0.0,8.0
Resort Hotel,2015,December,Complementary,Transient,6,6.0,0.33,1.83
Resort Hotel,2016,November,Corporate,Group,1,140.0,35.0,4.0
Resort Hotel,2017,May,Offline TA/TO,Contract,126,67361.84,61.19,8.6
Resort Hotel,2016,November,Groups,Group,1,135.0,45.0,3.0
Resort Hotel,2016,October,Online TA,Transient-Party,63,17402.89,73.17,3.89
Resort Hotel,2017,June,Offline TA/TO,Group,6,5320.91,91.97,9.33
Resort Hotel,2015,October,Complementary,Contract,1,12.0,2.4,5.0
Resort Hotel,2015,October,Complementary,Transient-Party,1,0.0,0.0,30.0
Resort Hotel,2016,November,Complementary,Transient,11,230.0,10.45,1.82
Resort Hotel,2017,April,Corporate,Transient-Party,16,3089.0,54.95,2.87
Resort Hotel,2016,December,Complementary,Transient-Party,5,14.0,1.4,2.6
Resort Hotel,2015,July,Online TA,Contract,1,1078.0,134.75,8.0
Resort Hotel,2017,April,Direct,Transient-Party,23,10480.01,97.04,4.83
Resort Hotel,2015,September,Groups,Transient,8,1395.8,58.27,3.5
Resort Hotel,2015,September,Direct,Group,1,65.0,65.0,1.0
Resort Hotel,2015,December,Online TA,Group,3,143.17,47.72,1.0
Resort Hotel,2015,October,Offline TA/TO,Group,1,603.0,67.0,9.0
Resort Hotel,2017,May,Offline TA/TO,Group,6,1084.0,59.67,2.0
Resort Hotel,2016,May,Online TA,Group,2,122.8,61.4,1.0
Resort Hotel,2016,October,Corporate,Group,2,112.2,56.1,1.0
Resort Hotel,2017,April,Corporate,Group,2,400.0,50.0,4.0
Resort Hotel,2017,January,Direct,Group,5,822.0,50.0,3.6
Resort Hotel,2016,June,Complementary,Transient,2,0.0,0.0,2.0
Resort Hotel,2017,January,Complementary,Transient,4,0.0,0.0,1.75
Resort Hotel,2017,May,Complementary,Transient,6,0.0,0.0,1.17
Resort Hotel,2017,January,Offline TA/TO,Group,2,136.0,34.0,2.0
Resort Hotel,2016,February,Offline TA/TO,Group,4,289.6,38.85,2.0
Resort Hotel,2016,May,Offline TA/TO,Group,2,109.0,54.5,1.0
Resort Hotel,2015,November,Online TA,Group,1,36.45,36.45,1.0
Resort Hotel,2017,February,Offline TA/TO,Group,10,560.5,34.35,1.7
Resort Hotel,2017,February,Direct,Group,4,255.0,52.38,1.25
Resort Hotel,2015,December,Corporate,Transient-Party,2,123.0,41.5,1.5
Resort Hotel,2017,June,Corporate,Group,1,75.0,75.0,1.0
Resort Hotel,2015,December,Direct,Group,1,100.0,50.0,2.0
Resort Hotel,2017,June,Offline TA/TO,Transient,127,75314.22,89.97,6.36
Resort Hotel,2016,December,Complementary,Transient,18,227.5,6.49,1.89
Resort Hotel,2016,January,Direct,Group,2,87.0,43.5,1.0
Resort Hotel,2016,January,Groups,Transient-Party,9,2091.0,68.44,3.22
Resort Hotel,2016,January,Complementary,Transient,6,0.0,0.0,2.17
Resort Hotel,2017,June,Corporate,Transient-Party,14,2346.99,108.1,1.5
Resort Hotel,2016,May,Direct,Transient-Party,18,4301.0,88.61,2.28
Resort Hotel,2016,January,Offline TA/TO,Transient-Party,13,683.75,34.19,1.62
Resort Hotel,2016,February,Direct,Group,1,35.1,35.1,1.0
Resort Hotel,2016,April,Online TA,Group,2,89.6,44.8,1.0
Resort Hotel,2016,December,Offline TA/TO,Group,4,144.0,26.0,1.0
Resort Hotel,2017,March,Direct,Group,10,1666.09,75.43,2.3
Resort Hotel,2016,November,Direct,Group,1,49.0,49.0,1.0
Resort Hotel,2016,January,Offline TA/TO,Group,1,29.0,29.0,1.0
Resort Hotel,2017,January,Corporate,Group,1,38.0,38.0,1.0
Resort Hotel,2016,June,Corporate,Group,1,231.0,77.0,3.0
Resort Hotel,2016,February,Complementary,Transient,9,56.0,6.22,1.33
Resort Hotel,2017,March,Offline TA/TO,Group,4,549.0,35.75,3.5
Resort Hotel,2016,February,Online TA,Transient-Party,22,3330.3,55.91,2.82
Resort Hotel,2017,February,Online TA,Group,4,752.52,58.68,2.75
Resort Hotel,2016,November,Offline TA/TO,Group,2,190.0,31.0,3.0
Resort Hotel,2017,March,Offline TA/TO,Transient-Party,11,1706.0,44.91,2.82
Resort Hotel,2016,February,Corporate,Transient-Party,6,730.01,38.61,3.17
Resort Hotel,2016,July,Complementary,Transient,4,0.0,0.0,2.0
Resort Hotel,2016,February,Complementary,Transient-Party,2,108.0,27.0,2.0
Resort Hotel,2016,March,Groups,Transient,7,2660.65,79.36,4.71
Resort Hotel,2017,March,Direct,Transient-Party,40,10115.12,69.78,3.7
Resort Hotel,2016,March,Direct,Group,3,334.0,87.33,1.33
Resort Hotel,2016,March,Direct,Transient-Party,5,435.99,42.07,2.0
Resort Hotel,2017,June,Complementary,Transient,8,24.0,1.5,1.63
Resort Hotel,2017,February,Complementary,Transient,2,14.0,3.5,1.5
Resort Hotel,2016,March,Corporate,Transient-Party,10,522.0,37.2,1.3
Resort Hotel,2017,June,Online TA,Group,2,197.84,98.92,1.0
Resort Hotel,2016,December,Corporate,Transient-Party,4,210.0,36.0,1.5
Resort Hotel,2016,October,Groups,Group,2,50.0,25.0,4.0
Resort Hotel,2016,December,Direct,Group,4,842.5,104.07,2.0
Resort Hotel,2016,April,Direct,Group,4,730.4,69.85,3.0
Resort Hotel,2017,April,Groups,Group,1,0.0,0.0,7.0
Resort Hotel,2016,June,Online TA,Group,1,99.0,99.0,1.0
Resort Hotel,2016,May,Direct,Group,5,365.0,73.0,1.0
Resort Hotel,2017,March,Online TA,Group,2,147.0,73.5,1.0
Resort Hotel,2016,May,Groups,Group,3,216.0,72.0,1.0
Resort Hotel,2017,April,Offline TA/TO,Transient,59,14055.73,64.99,3.98
Resort Hotel,2016,October,Offline TA/TO,Group,3,910.0,56.67,4.67
Resort Hotel,2016,June,Direct,Group,1,124.0,124.0,1.0
Resort Hotel,2016,June,Offline TA/TO,Group,1,0.0,0.0,0.0
Resort Hotel,2017,June,Direct,Group,6,2800.04,131.26,3.5
Resort Hotel,2016,July,Online TA,Transient-Party,45,25413.4,186.25,3.11
Resort Hotel,2016,July,Direct,Transient-Party,8,4338.5,146.31,3.5
Resort Hotel,2017,February,Direct,Transient-Party,31,3626.9,62.99,1.9
Resort Hotel,2017,July,Offline TA/TO,Contract,70,79077.3,130.96,8.69
Resort Hotel,2016,July,Online TA,Group,1,546.0,182.0,3.0
Resort Hotel,2017,July,Direct,Group,4,4325.0,166.4,7.0
Resort Hotel,2017,August,Direct,Group,3,1656.8,193.47,3.0
Resort Hotel,2016,August,Direct,Group,3,2228.2,247.2,3.0
Resort Hotel,2016,August,Online TA,Transient-Party,52,46128.95,210.25,4.0
Resort Hotel,2016,August,Offline TA/TO,Transient-Party,35,32573.97,152.42,5.8
Resort Hotel,2016,August,Online TA,Group,1,242.0,242.0,1.0
Resort Hotel,2017,August,Offline TA/TO,Group,19,19963.42,145.7,7.47
Resort Hotel,2016,August,Complementary,Transient,1,4.0,2.0,2.0
Resort Hotel,2016,September,Direct,Group,1,177.0,177.0,1.0
Resort Hotel,2016,September,Online TA,Transient-Party,34,15188.83,115.79,4.12
Resort Hotel,2016,September,Direct,Transient-Party,10,6070.77,126.59,5.2
Resort Hotel,2016,September,Complementary,Transient,2,0.0,0.0,4.5
Resort Hotel,2016,September,Corporate,Group,1,76.0,76.0,1.0
Resort Hotel,2016,October,Online TA,Group,2,420.65,68.58,2.5
Resort Hotel,2016,October,Offline TA/TO,Contract,30,13840.15,63.0,7.57
Resort Hotel,2016,October,Complementary,Transient,5,12.0,1.2,1.4
Resort Hotel,2016,October,Direct,Group,1,55.0,55.0,1.0
Resort Hotel,2017,March,Corporate,Group,2,155.0,47.5,1.5
Resort Hotel,2016,December,Offline TA/TO,Contract,1,160.0,80.0,2.0
Resort Hotel,2016,November,Online TA,Transient-Party,55,10610.02,60.14,3.25
Resort Hotel,2016,November,Groups,Transient-Party,24,2315.9,39.62,2.38
Resort Hotel,2016,November,Direct,Transient-Party,1,72.0,72.0,1.0
Resort Hotel,2016,November,Corporate,Transient-Party,5,340.0,48.0,1.4
Resort Hotel,2016,November,Offline TA/TO,Transient-Party,4,148.0,37.0,1.0
Resort Hotel,2016,November,Online TA,Group,1,46.2,46.2,1.0
Resort Hotel,2016,November,Offline TA/TO,Contract,3,1665.44,56.4,9.33
Resort Hotel,2016,November,Groups,Transient,4,784.0,47.75,4.0
Resort Hotel,2016,December,Groups,Transient,3,1424.0,248.0,1.67
Resort Hotel,2016,December,Offline TA/TO,Transient-Party,13,3313.32,79.78,2.92
Resort Hotel,2017,January,Offline TA/TO,Transient-Party,8,525.0,31.63,2.0
Resort Hotel,2017,January,Groups,Transient,8,1343.6,44.35,3.75
Resort Hotel,2017,January,Offline TA/TO,Contract,3,605.44,63.85,3.0
Resort Hotel,2017,May,Online TA,Transient-Party,55,21983.08,96.32,4.0
Resort Hotel,2017,February,Offline TA/TO,Transient-Party,7,472.0,33.79,1.86
Resort Hotel,2017,February,Groups,Transient-Party,30,6406.0,71.97,3.07
Resort Hotel,2017,February,Complementary,Transient-Party,2,240.0,24.0,4.5
Resort Hotel,2017,February,Offline TA/TO,Contract,16,8019.28,52.97,9.81
Resort Hotel,2017,February,Groups,Transient,2,340.0,54.0,3.0
Resort Hotel,2017,August,Complementary,Transient,4,0.0,0.0,1.25
Resort Hotel,2017,April,Offline TA/TO,Contract,71,27481.86,59.09,6.63
Resort Hotel,2017,March,Complementary,Transient,9,0.0,0.0,1.67
