hotel,arrival_date_year,arrival_date_month,market_segment,customer_type,deposit_type,lead_time_category,canceled_bookings,lost_revenue,avg_adr,avg_stay_duration
Resort Hotel,2015,September,Offline TA/TO,Transient-Party,No Deposit,181-365 Days,7,2318.3,52.2,5.43
Resort Hotel,2015,September,Offline TA/TO,Transient,No Deposit,31-90 Days,3,595.4,99.2,2.33
Resort Hotel,2015,September,Offline TA/TO,Contract,No Deposit,91-180 Days,3,1877.89,89.42,7.0
Resort Hotel,2015,September,Offline TA/TO,Transient,No Deposit,181-365 Days,9,3287.35,56.16,6.0
Resort Hotel,2015,September,Online TA,Group,No Deposit,91-180 Days,1,164.0,82.0,2.0
Resort Hotel,2015,September,Offline TA/TO,Contract,No Deposit,181-365 Days,5,2452.57,65.59,8.2
Resort Hotel,2015,September,Groups,Transient-Party,No Deposit,91-180 Days,2,144.0,18.0,4.0
Resort Hotel,2015,September,Offline TA/TO,Transient,No Deposit,91-180 Days,2,1290.6,69.35,8.5
Resort Hotel,2015,September,Groups,Transient-Party,No Deposit,181-365 Days,6,918.0,44.83,4.5
Resort Hotel,2015,September,Groups,Transient-Party,No Deposit,31-90 Days,3,488.0,81.33,2.0
Resort Hotel,2015,September,Corporate,Transient,No Deposit,0-30 Days,4,552.65,104.66,1.25
Resort Hotel,2015,September,Corporate,Transient-Party,No Deposit,0-30 Days,1,75.65,75.65,1.0
Resort Hotel,2015,September,Offline TA/TO,Contract,No Deposit,31-90 Days,1,380.8,54.4,7.0
Resort Hotel,2015,September,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,1,202.5,67.5,3.0
Resort Hotel,2015,September,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,1,39.0,13.0,3.0
Resort Hotel,2015,October,Online TA,Transient,No Deposit,31-90 Days,26,8709.8,66.55,4.92
Resort Hotel,2015,October,Online TA,Transient,No Deposit,0-30 Days,10,2779.2,75.03,3.6
Resort Hotel,2015,October,Online TA,Transient,No Deposit,91-180 Days,22,6882.9,63.78,4.86
Resort Hotel,2015,October,Direct,Transient,No Deposit,0-30 Days,12,2180.02,67.24,2.92
Resort Hotel,2015,October,Offline TA/TO,Transient,No Deposit,0-30 Days,4,626.5,48.38,3.25
Resort Hotel,2015,October,Groups,Transient,Non Refund,31-90 Days,2,312.05,64.03,2.0
Resort Hotel,2015,October,Online TA,Transient,No Deposit,181-365 Days,3,1211.58,59.79,7.0
Resort Hotel,2015,October,Offline TA/TO,Group,No Deposit,181-365 Days,1,0.0,0.0,7.0
Resort Hotel,2015,October,Direct,Group,No Deposit,181-365 Days,7,0.0,0.0,6.29
Resort Hotel,2015,October,Groups,Transient,Non Refund,91-180 Days,6,1736.35,39.76,7.5
Resort Hotel,2015,October,Corporate,Transient,No Deposit,0-30 Days,8,1021.95,46.74,3.25
Resort Hotel,2015,October,Direct,Transient,No Deposit,31-90 Days,3,873.62,60.47,5.0
Resort Hotel,2015,October,Offline TA/TO,Transient,No Deposit,181-365 Days,5,1115.2,39.52,5.2
Resort Hotel,2015,October,Corporate,Contract,No Deposit,31-90 Days,1,100.0,50.0,2.0
Resort Hotel,2015,October,Direct,Contract,No Deposit,31-90 Days,1,100.0,50.0,2.0
Resort Hotel,2015,October,Corporate,Transient,No Deposit,31-90 Days,1,67.5,67.5,1.0
Resort Hotel,2015,October,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,4,234.4,29.3,2.0
Resort Hotel,2015,October,Offline TA/TO,Transient,No Deposit,365+ Days,1,28.0,4.0,7.0
Resort Hotel,2015,October,Offline TA/TO,Transient,No Deposit,91-180 Days,2,749.0,64.5,6.0
Resort Hotel,2015,October,Offline TA/TO,Contract,No Deposit,91-180 Days,1,605.5,86.5,7.0
Resort Hotel,2015,October,Direct,Transient,No Deposit,91-180 Days,1,475.0,95.0,5.0
Resort Hotel,2015,October,Offline TA/TO,Contract,No Deposit,31-90 Days,1,145.8,48.6,3.0
Resort Hotel,2015,October,Offline TA/TO,Contract,No Deposit,0-30 Days,1,145.8,48.6,3.0
Resort Hotel,2015,October,Groups,Contract,Non Refund,91-180 Days,1,828.0,36.0,23.0
Resort Hotel,2015,October,Groups,Transient,No Deposit,0-30 Days,3,108.0,36.0,1.0
Resort Hotel,2015,October,Groups,Transient,No Deposit,91-180 Days,5,236.0,40.0,1.2
Resort Hotel,2015,October,Groups,Transient-Party,Non Refund,91-180 Days,1,36.0,36.0,1.0
Resort Hotel,2015,November,Corporate,Transient,No Deposit,31-90 Days,2,50.0,25.0,1.0
Resort Hotel,2015,November,Online TA,Transient,No Deposit,0-30 Days,11,2881.44,60.14,4.09
Resort Hotel,2015,November,Online TA,Transient,No Deposit,91-180 Days,16,4055.95,40.51,6.25
Resort Hotel,2015,November,Corporate,Transient-Party,No Deposit,31-90 Days,16,3334.4,39.72,5.25
Resort Hotel,2015,November,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,3,338.4,28.2,4.0
Resort Hotel,2015,November,Offline TA/TO,Contract,No Deposit,31-90 Days,1,123.95,24.79,5.0
Resort Hotel,2015,November,Corporate,Transient-Party,No Deposit,0-30 Days,6,1544.0,39.33,5.83
Resort Hotel,2015,November,Offline TA/TO,Transient,No Deposit,0-30 Days,7,710.24,38.61,2.14
Resort Hotel,2015,November,Online TA,Transient,No Deposit,181-365 Days,5,1205.52,51.14,4.2
Resort Hotel,2015,November,Offline TA/TO,Transient,No Deposit,181-365 Days,1,324.0,54.0,6.0
Resort Hotel,2015,November,Corporate,Transient,No Deposit,0-30 Days,4,142.0,35.5,1.0
Resort Hotel,2015,November,Direct,Transient,No Deposit,31-90 Days,4,668.2,68.3,3.25
Resort Hotel,2015,November,Online TA,Transient,No Deposit,31-90 Days,13,2943.85,46.04,5.0
Resort Hotel,2015,November,Corporate,Contract,No Deposit,31-90 Days,3,603.0,54.67,3.67
Resort Hotel,2015,November,Offline TA/TO,Transient,No Deposit,31-90 Days,2,652.34,65.24,5.0
Resort Hotel,2015,November,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,1,438.0,73.0,6.0
Resort Hotel,2015,November,Offline TA/TO,Contract,No Deposit,91-180 Days,1,928.48,66.32,14.0
Resort Hotel,2015,November,Groups,Transient-Party,No Deposit,31-90 Days,2,256.0,64.0,2.0
Resort Hotel,2015,November,Offline TA/TO,Transient,No Deposit,91-180 Days,1,67.5,22.5,3.0
Resort Hotel,2015,December,Online TA,Transient,No Deposit,31-90 Days,38,10311.39,64.89,4.24
Resort Hotel,2015,December,Online TA,Transient,No Deposit,0-30 Days,26,5460.43,63.71,3.19
Resort Hotel,2015,December,Online TA,Transient,No Deposit,91-180 Days,23,7653.08,53.42,7.26
Resort Hotel,2015,December,Direct,Transient,No Deposit,31-90 Days,8,2493.2,119.86,2.63
Resort Hotel,2015,December,Groups,Transient-Party,No Deposit,31-90 Days,6,878.0,61.67,2.33
Resort Hotel,2015,December,Groups,Transient,Non Refund,91-180 Days,2,284.0,74.0,2.0
Resort Hotel,2015,December,Offline TA/TO,Transient,No Deposit,31-90 Days,6,1924.54,56.85,5.83
Resort Hotel,2015,December,Online TA,Transient,No Deposit,181-365 Days,6,3048.78,48.85,11.0
Resort Hotel,2015,December,Offline TA/TO,Contract,No Deposit,181-365 Days,1,378.0,54.0,7.0
Resort Hotel,2015,December,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,1,385.0,55.0,7.0
Resort Hotel,2015,December,Offline TA/TO,Transient,No Deposit,0-30 Days,5,741.0,57.4,2.8
Resort Hotel,2015,December,Direct,Transient,No Deposit,91-180 Days,4,1871.84,73.5,7.0
Resort Hotel,2015,December,Online TA,Transient,Non Refund,0-30 Days,3,245.0,81.67,1.0
Resort Hotel,2015,December,Direct,Transient,No Deposit,0-30 Days,10,1767.0,61.72,2.7
Resort Hotel,2015,December,Groups,Transient-Party,No Deposit,91-180 Days,1,0.0,0.0,4.0
Resort Hotel,2016,January,Online TA,Transient,No Deposit,0-30 Days,35,6601.63,60.15,3.03
Resort Hotel,2016,January,Online TA,Transient,No Deposit,31-90 Days,12,2542.7,61.6,3.33
Resort Hotel,2016,January,Groups,Transient,Non Refund,91-180 Days,1,72.0,72.0,1.0
Resort Hotel,2016,January,Online TA,Transient,No Deposit,91-180 Days,12,3681.42,46.83,6.42
Resort Hotel,2016,January,Groups,Transient-Party,No Deposit,0-30 Days,2,516.0,64.5,4.0
Resort Hotel,2016,January,Online TA,Transient,No Deposit,181-365 Days,3,1698.75,35.97,12.67
Resort Hotel,2016,January,Offline TA/TO,Transient,No Deposit,0-30 Days,3,1907.0,31.33,10.33
Resort Hotel,2016,January,Direct,Transient,No Deposit,91-180 Days,2,965.6,60.35,8.0
Resort Hotel,2016,January,Offline TA/TO,Transient,No Deposit,181-365 Days,2,1479.8,66.55,17.5
Resort Hotel,2016,January,Offline TA/TO,Transient,No Deposit,91-180 Days,2,1160.18,27.59,24.5
Resort Hotel,2016,January,Direct,Transient,No Deposit,0-30 Days,4,427.6,52.45,2.0
Resort Hotel,2016,January,Direct,Transient-Party,No Deposit,0-30 Days,1,44.0,44.0,1.0
Resort Hotel,2016,January,Complementary,Transient,No Deposit,0-30 Days,1,0.0,0.0,1.0
Resort Hotel,2016,January,Corporate,Transient,No Deposit,0-30 Days,4,137.0,34.25,1.0
Resort Hotel,2016,January,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,2,81.0,40.5,1.0
Resort Hotel,2016,January,Offline TA/TO,Transient,No Deposit,31-90 Days,1,110.0,55.0,2.0
Resort Hotel,2016,February,Corporate,Transient-Party,No Deposit,0-30 Days,2,78.0,39.0,1.0
Resort Hotel,2016,February,Direct,Transient,No Deposit,0-30 Days,10,836.0,63.0,1.4
Resort Hotel,2016,February,Corporate,Transient,No Deposit,0-30 Days,3,207.0,42.0,2.0
Resort Hotel,2016,February,Online TA,Transient,No Deposit,0-30 Days,34,7205.89,69.17,3.03
Resort Hotel,2016,February,Online TA,Transient,No Deposit,181-365 Days,3,415.26,35.82,3.33
Resort Hotel,2016,February,Offline TA/TO,Transient,No Deposit,91-180 Days,2,733.7,25.52,14.5
Resort Hotel,2016,February,Direct,Transient,No Deposit,91-180 Days,2,339.36,47.21,3.5
Resort Hotel,2016,February,Offline TA/TO,Transient,No Deposit,31-90 Days,5,1492.0,51.4,5.6
Resort Hotel,2016,February,Direct,Transient-Party,No Deposit,31-90 Days,2,1768.0,34.0,26.0
Resort Hotel,2016,February,Online TA,Transient,No Deposit,91-180 Days,13,4659.13,45.58,7.23
Resort Hotel,2016,February,Online TA,Transient,No Deposit,31-90 Days,42,10463.54,63.14,3.93
Resort Hotel,2016,February,Offline TA/TO,Transient,No Deposit,0-30 Days,10,1048.05,35.35,3.1
Resort Hotel,2016,February,Groups,Transient-Party,No Deposit,31-90 Days,5,791.99,71.87,2.2
Resort Hotel,2016,February,Groups,Transient-Party,No Deposit,91-180 Days,5,650.0,60.0,2.2
Resort Hotel,2016,February,Offline TA/TO,Transient,No Deposit,181-365 Days,1,365.4,26.1,14.0
Resort Hotel,2016,February,Groups,Transient,Non Refund,31-90 Days,4,526.0,43.5,3.25
Resort Hotel,2016,February,Groups,Transient,No Deposit,31-90 Days,1,0.0,0.0,4.0
Resort Hotel,2016,February,Groups,Transient,Non Refund,91-180 Days,4,577.0,62.25,2.25
Resort Hotel,2016,February,Direct,Transient,No Deposit,31-90 Days,4,952.0,84.5,2.5
Resort Hotel,2016,March,Online TA,Transient,No Deposit,0-30 Days,41,7418.29,61.37,2.95
Resort Hotel,2016,March,Online TA,Transient,No Deposit,91-180 Days,23,7449.92,67.27,4.78
Resort Hotel,2016,March,Groups,Transient-Party,No Deposit,31-90 Days,9,2557.0,61.44,4.44
Resort Hotel,2016,March,Direct,Transient,No Deposit,31-90 Days,3,1015.0,87.25,4.0
Resort Hotel,2016,March,Online TA,Transient,No Deposit,31-90 Days,74,24102.62,70.63,4.64
Resort Hotel,2016,March,Offline TA/TO,Transient,No Deposit,31-90 Days,12,3310.03,59.4,5.17
Resort Hotel,2016,March,Corporate,Transient,No Deposit,0-30 Days,9,438.0,35.44,1.33
Resort Hotel,2016,March,Offline TA/TO,Transient,Non Refund,181-365 Days,2,728.0,52.0,7.0
Resort Hotel,2016,March,Direct,Transient,No Deposit,0-30 Days,13,2151.74,54.68,3.08
Resort Hotel,2016,March,Offline TA/TO,Transient,No Deposit,0-30 Days,11,2578.0,44.18,4.73
Resort Hotel,2016,March,Groups,Transient,Non Refund,91-180 Days,2,2058.0,83.0,12.5
Resort Hotel,2016,March,Online TA,Transient,No Deposit,181-365 Days,17,4257.91,45.9,5.71
Resort Hotel,2016,March,Groups,Transient-Party,No Deposit,0-30 Days,2,587.4,63.7,4.5
Resort Hotel,2016,March,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,2,50.0,25.0,1.0
Resort Hotel,2016,March,Direct,Transient,No Deposit,181-365 Days,1,117.3,39.1,3.0
Resort Hotel,2016,March,Offline TA/TO,Transient-Party,Non Refund,31-90 Days,1,50.0,25.0,2.0
Resort Hotel,2016,March,Offline TA/TO,Contract,No Deposit,31-90 Days,3,621.5,37.57,5.67
Resort Hotel,2016,March,Direct,Transient,No Deposit,91-180 Days,2,1030.0,59.5,7.5
Resort Hotel,2016,March,Direct,Transient-Party,No Deposit,0-30 Days,1,36.0,36.0,1.0
Resort Hotel,2016,March,Complementary,Transient,No Deposit,0-30 Days,2,0.0,0.0,2.0
Resort Hotel,2016,March,Complementary,Transient,No Deposit,31-90 Days,1,40.0,20.0,2.0
Resort Hotel,2016,March,Groups,Transient-Party,No Deposit,91-180 Days,2,252.0,42.0,3.0
Resort Hotel,2016,March,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,2,658.0,71.0,5.0
Resort Hotel,2016,March,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,2,574.0,47.0,5.0
Resort Hotel,2016,March,Groups,Transient-Party,Refundable,91-180 Days,2,448.0,56.0,4.0
Resort Hotel,2016,April,Online TA,Transient,No Deposit,31-90 Days,63,23034.83,85.89,4.24
Resort Hotel,2016,April,Online TA,Transient,No Deposit,0-30 Days,38,10150.25,83.68,2.95
Resort Hotel,2016,April,Groups,Transient-Party,Non Refund,91-180 Days,2,340.0,85.0,2.0
Resort Hotel,2016,April,Online TA,Transient,No Deposit,91-180 Days,37,13745.49,71.83,5.38
Resort Hotel,2016,April,Groups,Transient,Non Refund,91-180 Days,8,2722.95,74.23,4.75
Resort Hotel,2016,April,Groups,Transient-Party,No Deposit,31-90 Days,10,4249.52,69.54,6.3
Resort Hotel,2016,April,Groups,Transient-Party,No Deposit,0-30 Days,3,516.99,67.44,2.33
Resort Hotel,2016,April,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,2,92.1,27.05,2.0
Resort Hotel,2016,April,Direct,Transient,No Deposit,0-30 Days,17,2637.3,73.09,2.06
Resort Hotel,2016,April,Offline TA/TO,Transient,No Deposit,31-90 Days,8,2605.8,51.99,6.25
Resort Hotel,2016,April,Groups,Transient-Party,No Deposit,181-365 Days,8,1518.62,73.46,2.63
Resort Hotel,2016,April,Groups,Transient,Non Refund,181-365 Days,7,3151.95,62.25,7.29
Resort Hotel,2016,April,Online TA,Transient,No Deposit,181-365 Days,10,3044.52,57.19,5.1
Resort Hotel,2016,April,Groups,Transient-Party,Non Refund,181-365 Days,3,762.1,76.77,3.67
Resort Hotel,2016,April,Direct,Transient,No Deposit,31-90 Days,7,2531.77,81.57,4.43
Resort Hotel,2016,April,Corporate,Transient-Party,No Deposit,31-90 Days,3,109.0,36.33,0.67
Resort Hotel,2016,April,Offline TA/TO,Transient,No Deposit,91-180 Days,4,1259.1,56.25,5.5
Resort Hotel,2016,April,Corporate,Transient-Party,No Deposit,0-30 Days,2,117.0,58.5,1.0
Resort Hotel,2016,April,Corporate,Transient,No Deposit,0-30 Days,7,3595.5,60.21,7.0
Resort Hotel,2016,April,Corporate,Transient,No Deposit,31-90 Days,1,84.0,42.0,2.0
Resort Hotel,2016,April,Offline TA/TO,Transient-Party,No Deposit,181-365 Days,2,552.0,92.0,3.0
Resort Hotel,2016,April,Groups,Transient,Non Refund,31-90 Days,12,4270.0,50.83,7.0
Resort Hotel,2016,April,Offline TA/TO,Transient,No Deposit,181-365 Days,1,313.2,52.2,6.0
Resort Hotel,2016,April,Groups,Transient-Party,No Deposit,91-180 Days,5,1848.0,41.8,9.8
Resort Hotel,2016,April,Offline TA/TO,Transient-Party,No Deposit,31-90 Days,1,188.0,47.0,4.0
Resort Hotel,2016,April,Offline TA/TO,Transient,No Deposit,0-30 Days,2,600.8,87.1,3.5
Resort Hotel,2016,April,Direct,Transient-Party,No Deposit,0-30 Days,2,144.0,72.0,1.0
Resort Hotel,2016,May,Online TA,Transient,No Deposit,31-90 Days,66,24948.52,87.2,4.21
Resort Hotel,2016,May,Online TA,Transient,No Deposit,0-30 Days,22,8251.57,109.05,3.32
Resort Hotel,2016,May,Offline TA/TO,Transient,No Deposit,181-365 Days,8,3228.69,64.35,6.5
Resort Hotel,2016,May,Online TA,Transient,No Deposit,181-365 Days,31,14446.56,69.96,6.32
Resort Hotel,2016,May,Offline TA/TO,Transient,No Deposit,0-30 Days,2,396.0,67.6,3.0
Resort Hotel,2016,May,Groups,Transient-Party,No Deposit,181-365 Days,13,1961.0,68.04,2.31
Resort Hotel,2016,May,Corporate,Transient,No Deposit,0-30 Days,8,3070.4,71.05,5.0
Resort Hotel,2016,May,Offline TA/TO,Transient,No Deposit,31-90 Days,8,2190.2,53.16,4.63
Resort Hotel,2016,May,Online TA,Transient,No Deposit,91-180 Days,66,29020.97,77.8,5.59
Resort Hotel,2016,May,Offline TA/TO,Transient,No Deposit,91-180 Days,13,6449.96,70.66,7.23
Resort Hotel,2016,May,Direct,Transient,No Deposit,91-180 Days,8,3347.05,84.23,4.63
Resort Hotel,2016,May,Online TA,Transient-Party,No Deposit,91-180 Days,3,723.9,73.13,3.33
Resort Hotel,2016,May,Direct,Transient,No Deposit,0-30 Days,15,3030.5,88.58,1.87
Resort Hotel,2016,May,Direct,Transient,No Deposit,31-90 Days,1,498.0,124.5,4.0
Resort Hotel,2016,May,Groups,Transient-Party,No Deposit,0-30 Days,2,665.0,77.5,4.0
Resort Hotel,2016,May,Offline TA/TO,Transient-Party,No Deposit,0-30 Days,1,97.2,48.6,2.0
Resort Hotel,2016,May,Direct,Transient-Party,No Deposit,31-90 Days,1,95.0,95.0,1.0
Resort Hotel,2016,May,Direct,Transient-Party,No Deposit,0-30 Days,1,70.0,70.0,1.0
Resort Hotel,2016,May,Groups,Transient-Party,No Deposit,365+ Days,5,454.0,45.4,2.0
Resort Hotel,2016,May,Corporate,Transient,No Deposit,31-90 Days,1,160.0,80.0,2.0
Resort Hotel,2016,May,Groups,Transient-Party,No Deposit,31-90 Days,1,134.0,67.0,2.0
Resort Hotel,2016,May,Online TA,Transient-Party,No Deposit,0-30 Days,1,270.0,135.0,2.0
Resort Hotel,2016,May,Online TA,Transient-Party,No Deposit,31-90 Days,2,646.44,53.87,6.0
Resort Hotel,2016,May,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,6,2775.8,57.17,8.0
Resort Hotel,2016,May,Groups,Transient-Party,Non Refund,0-30 Days,2,102.5,51.25,1.0
Resort Hotel,2016,May,Offline TA/TO,Contract,No Deposit,91-180 Days,3,1142.4,42.78,9.33
Resort Hotel,2016,May,Groups,Transient,Non Refund,91-180 Days,1,184.0,46.0,4.0
Resort Hotel,2016,May,Groups,Transient,Non Refund,31-90 Days,1,110.0,55.0,2.0
Resort Hotel,2016,May,Groups,Transient,No Deposit,31-90 Days,1,0.0,0.0,2.0
Resort Hotel,2016,May,Complementary,Transient,No Deposit,31-90 Days,1,35.0,17.5,2.0
Resort Hotel,2016,May,Complementary,Transient,No Deposit,91-180 Days,1,0.0,0.0,1.0
Resort Hotel,2016,May,Direct,Transient,No Deposit,181-365 Days,1,639.2,63.92,10.0
Resort Hotel,2016,May,Groups,Transient,Non Refund,0-30 Days,1,58.0,58.0,1.0
Resort Hotel,2016,May,Groups,Transient-Party,Non Refund,181-365 Days,1,60.0,60.0,1.0
Resort Hotel,2016,June,Corporate,Transient,No Deposit,0-30 Days,7,741.0,66.71,1.57
Resort Hotel,2016,June,Offline TA/TO,Transient-Party,No Deposit,91-180 Days,2,676.5,81.75,4.0
Resort Hotel,2016,June,Groups,Transient,Non Refund,181-365 Days,4,1353.8,103.65,3.25
Resort Hotel,2016,June,Online TA,Transient,No Deposit,91-180 Days,88,62217.65,114.4,6.2
Resort Hotel,2016,June,Online TA,Transient,No Deposit,0-30 Days,34,12900.79,140.34,2.62
Resort Hotel,2016,June,Online TA,Transient,No Deposit,31-90 Days,46,27985.51,144.56,4.24
Resort Hotel,2016,June,Direct,Transient,No Deposit,31-90 Days,10,5676.15,122.47,4.0
Resort Hotel,2016,June,Online TA,Transient,No Deposit,181-365 Days,58,37473.24,92.8,6.67
Resort Hotel,2016,June,Offline TA/TO,Transient-Party,No Deposit,181-365 Days,2,1737.0,74.0,11.5
Resort Hotel,2016,June,Direct,Transient,No Deposit,91-180 Days,9,7908.67,129.84,6.44
Resort Hotel,2016,June,Offline TA/TO,Contract,No Deposit,181-365 Days,4,2789.1,60.37,11.25
Resort Hotel,2016,June,Direct,Transient,No Deposit,181-365 Days,3,1865.75,97.75,5.67
Resort Hotel,2016,June,Online TA,Transient-Party,No Deposit,91-180 Days,1,302.0,151.0,2.0
Resort Hotel,2016,June,Online TA,Transient-Party,No Deposit,0-30 Days,2,774.0,129.0,3.0
Resort Hotel,2016,June,Offline TA/TO,Transient,No Deposit,181-365 Days,7,3533.55,62.85,8.0
Resort Hotel,2016,June,Offline TA/TO,Transient,No Deposit,91-180 Days,7,3005.84,67.65,6.57
Resort Hotel,2016,June,Direct,Transient,No Deposit,0-30 Days,8,2279.0,124.75,2.13
Resort Hotel,2016,June,Online TA,Transient,Non Refund,91-180 Days,2,945.0,78.75,6.0
Resort Hotel,2016,June,Groups,Transient-Party,No Deposit,181-365 Days,1,276.0,92.0,3.0
Resort Hotel,2016,June,Groups,Transient-Party,No Deposit,0-30 Days,1,276.0,92.0,3.0
Resort Hotel,2016,June,Groups,Transient,No Deposit,0-30 Days,1,32.0,8.0,4.0
Resort Hotel,2016,June,Offline TA/TO,Contract,No Deposit,91-180 Days,2,1978.9,70.67,14.0
Resort Hotel,2016,July,Online TA,Transient,No Deposit,31-90 Days,63,49149.26,200.23,3.9
Resort Hotel,2016,July,Online TA,Transient,No Deposit,0-30 Days,45,31701.63,188.24,3.71
