hotel,market_segment,deposit_type,customer_type,agent_campany,lead_time_category,total_bookings,canceled_bookings,cancellation_rate,avg_adr,avg_stay_duration
Resort Hotel,Groups,Non Refund,Transient,Direct,31-90 Days,4,4,100.0,81.25,7.0
Resort Hotel,Groups,No Deposit,Transient,Direct,31-90 Days,13,1,7.69,85.46,2.62
Resort Hotel,Complementary,No Deposit,Transient,Company,91-180 Days,3,1,33.33,1.73,3.67
Resort Hotel,Groups,No Deposit,Transient-Party,Company,181-365 Days,290,10,3.45,62.87,4.44
Resort Hotel,Groups,Refundable,Transient-Party,Company,181-365 Days,4,1,25.0,70.36,5.5
Resort Hotel,Groups,Non Refund,Transient-Party,Company,181-365 Days,3,1,33.33,42.0,2.67
Resort Hotel,Groups,Non Refund,Transient,Company,0-30 Days,1,1,100.0,58.0,1.0
Resort Hotel,Groups,Non Refund,Transient,Direct,181-365 Days,3,3,100.0,103.33,5.33
Resort Hotel,Online TA,Non Refund,Transient,Agent,91-180 Days,2,2,100.0,78.75,6.0
Resort Hotel,Groups,No Deposit,Transient-Party,Direct,181-365 Days,64,14,21.88,80.97,4.77
Resort Hotel,Online TA,No Deposit,Transient,Direct,181-365 Days,9,1,11.11,86.16,4.22
Resort Hotel,Direct,No Deposit,Group,Direct,0-30 Days,19,1,5.26,106.73,1.63
Resort Hotel,Direct,No Deposit,Transient,Company,181-365 Days,3,1,33.33,102.58,4.0
Resort Hotel,Direct,No Deposit,Transient-Party,Agent,31-90 Days,32,1,3.13,131.51,5.28
Resort Hotel,Offline TA/TO,No Deposit,Transient,Direct,365+ Days,1,0,0.0,105.02,10.0
Resort Hotel,Online TA,No Deposit,Group,Agent,181-365 Days,4,1,25.0,89.78,5.0
Resort Hotel,Corporate,No Deposit,Transient-Party,Agent,181-365 Days,7,0,0.0,78.07,4.0
Resort Hotel,Groups,Non Refund,Transient,Direct,365+ Days,4,4,100.0,71.55,4.75
Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,Agent,365+ Days,7,1,14.29,63.82,4.0
Resort Hotel,Complementary,No Deposit,Transient,Company,0-30 Days,13,3,23.08,0.15,2.38
Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,Company,91-180 Days,4,1,25.0,116.1,1.0
Resort Hotel,Offline TA/TO,Non Refund,Transient,Agent,91-180 Days,1,1,100.0,52.0,4.0
Resort Hotel,Online TA,No Deposit,Transient,Agent,365+ Days,8,7,87.5,174.95,8.75
Resort Hotel,Groups,Refundable,Transient-Party,Agent,365+ Days,3,1,33.33,48.0,1.67
Resort Hotel,Complementary,No Deposit,Transient,Direct,91-180 Days,4,2,50.0,0.0,1.75
Resort Hotel,Groups,Non Refund,Transient,Agent,365+ Days,5,5,100.0,51.4,3.4
Resort Hotel,Groups,Refundable,Transient-Party,Agent,181-365 Days,7,0,0.0,65.39,7.0
Resort Hotel,Groups,No Deposit,Transient-Party,Direct,365+ Days,39,2,5.13,52.5,4.05
Resort Hotel,Corporate,No Deposit,Transient-Party,Direct,0-30 Days,11,2,18.18,48.82,2.09
Resort Hotel,Complementary,No Deposit,Transient,Agent,31-90 Days,6,2,33.33,20.8,4.17
Resort Hotel,Offline TA/TO,No Deposit,Group,Company,0-30 Days,2,1,50.0,17.0,0.5
Resort Hotel,Corporate,No Deposit,Transient,Agent,31-90 Days,41,37,90.24,91.98,6.59
Resort Hotel,Complementary,No Deposit,Transient-Party,Agent,0-30 Days,6,1,16.67,9.0,2.67
Resort Hotel,Offline TA/TO,No Deposit,Transient,Direct,91-180 Days,5,1,20.0,85.64,7.0
Resort Hotel,Corporate,Non Refund,Transient,Company,0-30 Days,2,2,100.0,45.0,2.0
Resort Hotel,Corporate,Non Refund,Transient,Direct,0-30 Days,5,5,100.0,100.0,1.8
Resort Hotel,Direct,Refundable,Transient,Agent,0-30 Days,1,1,100.0,115.5,9.0
Resort Hotel,Direct,No Deposit,Transient-Party,Direct,181-365 Days,30,2,6.67,110.93,5.33
Resort Hotel,Online TA,Refundable,Transient,Agent,91-180 Days,2,2,100.0,169.18,4.5
Resort Hotel,Online TA,No Deposit,Transient,Direct,91-180 Days,22,3,13.64,107.4,5.77
Resort Hotel,Online TA,Refundable,Transient,Agent,181-365 Days,1,1,100.0,76.0,4.0
Resort Hotel,Offline TA/TO,No Deposit,Group,Agent,0-30 Days,58,6,10.34,67.92,3.48
Resort Hotel,Online TA,Non Refund,Transient-Party,Agent,181-365 Days,1,1,100.0,80.1,5.0
Resort Hotel,Offline TA/TO,Refundable,Contract,Agent,181-365 Days,2,2,100.0,78.23,9.5
Resort Hotel,Online TA,Refundable,Transient,Agent,31-90 Days,2,2,100.0,169.17,6.0
Resort Hotel,Offline TA/TO,No Deposit,Transient,Company,31-90 Days,7,1,14.29,71.29,1.0
Resort Hotel,Offline TA/TO,No Deposit,Transient,Company,91-180 Days,4,1,25.0,109.0,2.75
Resort Hotel,Online TA,Refundable,Transient,Agent,0-30 Days,1,1,100.0,229.0,2.0
Resort Hotel,Online TA,No Deposit,Group,Agent,31-90 Days,10,1,10.0,77.15,2.3
Resort Hotel,Offline TA/TO,Non Refund,Transient,Direct,31-90 Days,1,1,100.0,198.0,3.0
Resort Hotel,Offline TA/TO,No Deposit,Group,Agent,31-90 Days,8,2,25.0,105.0,4.63
Resort Hotel,Corporate,No Deposit,Transient-Party,Agent,0-30 Days,9,0,0.0,51.78,1.44
Resort Hotel,Complementary,No Deposit,Group,Company,0-30 Days,1,0,0.0,0.0,3.0
Resort Hotel,Groups,No Deposit,Transient,Company,0-30 Days,4,0,0.0,45.0,2.5
Resort Hotel,Direct,No Deposit,Transient,Company,31-90 Days,3,0,0.0,85.7,3.67
Resort Hotel,Online TA,No Deposit,Transient-Party,Company,0-30 Days,5,0,0.0,77.01,2.4
Resort Hotel,Direct,Non Refund,Transient-Party,Direct,0-30 Days,1,0,0.0,38.0,1.0
Resort Hotel,Direct,No Deposit,Group,Agent,0-30 Days,24,0,0.0,89.64,2.29
Resort Hotel,Groups,No Deposit,Group,Agent,31-90 Days,2,0,0.0,55.16,4.5
Resort Hotel,Groups,Non Refund,Transient,Company,181-365 Days,2,2,100.0,36.67,3.0
Resort Hotel,Offline TA/TO,No Deposit,Group,Agent,91-180 Days,6,0,0.0,120.39,7.5
Resort Hotel,Groups,No Deposit,Group,Agent,181-365 Days,2,0,0.0,0.0,8.5
Resort Hotel,Complementary,No Deposit,Transient-Party,Agent,181-365 Days,1,0,0.0,0.0,8.0
Resort Hotel,Offline TA/TO,Non Refund,Transient,Direct,181-365 Days,2,2,100.0,36.0,3.0
Resort Hotel,Corporate,No Deposit,Group,Direct,0-30 Days,1,0,0.0,35.0,4.0
Resort Hotel,Complementary,No Deposit,Contract,Agent,0-30 Days,1,0,0.0,2.4,5.0
Resort Hotel,Complementary,No Deposit,Transient-Party,Company,0-30 Days,2,0,0.0,24.0,17.5
Resort Hotel,Complementary,No Deposit,Transient-Party,Direct,31-90 Days,1,0,0.0,0.0,2.0
Resort Hotel,Online TA,No Deposit,Contract,Agent,31-90 Days,1,0,0.0,134.75,8.0
Resort Hotel,Online TA,No Deposit,Group,Direct,0-30 Days,2,0,0.0,188.0,1.0
Resort Hotel,Groups,Refundable,Transient-Party,Direct,0-30 Days,9,0,0.0,73.33,1.11
Resort Hotel,Corporate,No Deposit,Contract,Direct,0-30 Days,1,0,0.0,50.0,2.0
Resort Hotel,Online TA,No Deposit,Transient-Party,Company,181-365 Days,2,0,0.0,44.5,3.5
Resort Hotel,Direct,No Deposit,Transient-Party,Company,181-365 Days,2,0,0.0,41.75,3.5
Resort Hotel,Corporate,Non Refund,Transient-Party,Company,0-30 Days,4,0,0.0,85.5,3.25
Resort Hotel,Groups,No Deposit,Transient,Company,181-365 Days,5,0,0.0,50.12,7.2
Resort Hotel,Corporate,No Deposit,Group,Agent,0-30 Days,1,0,0.0,42.0,1.0
Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,Company,0-30 Days,3,0,0.0,33.67,1.33
Resort Hotel,Corporate,No Deposit,Group,Company,0-30 Days,9,0,0.0,57.36,1.89
Resort Hotel,Offline TA/TO,No Deposit,Group,Direct,0-30 Days,1,0,0.0,61.0,1.0
Resort Hotel,Direct,No Deposit,Group,Agent,31-90 Days,8,1,12.5,118.3,6.13
Resort Hotel,Groups,No Deposit,Transient,Company,91-180 Days,2,0,0.0,63.0,6.0
Resort Hotel,Groups,Non Refund,Transient-Party,Agent,0-30 Days,7,0,0.0,56.72,3.0
Resort Hotel,Direct,No Deposit,Group,Direct,91-180 Days,1,0,0.0,150.0,3.0
Resort Hotel,Complementary,No Deposit,Transient,Company,31-90 Days,1,0,0.0,0.0,2.0
Resort Hotel,Groups,No Deposit,Group,Agent,91-180 Days,1,0,0.0,0.0,7.0
Resort Hotel,Direct,Refundable,Transient-Party,Company,0-30 Days,2,0,0.0,70.0,1.0
Resort Hotel,Groups,No Deposit,Transient,Agent,365+ Days,1,0,0.0,69.0,2.0
Resort Hotel,Groups,Refundable,Group,Direct,0-30 Days,3,0,0.0,72.0,1.0
Resort Hotel,Direct,Refundable,Group,Company,0-30 Days,2,0,0.0,70.0,1.0
Resort Hotel,Direct,No Deposit,Group,Company,181-365 Days,1,0,0.0,151.56,9.0
Resort Hotel,Direct,No Deposit,Group,Agent,181-365 Days,2,0,0.0,161.17,5.5
Resort Hotel,Offline TA/TO,Non Refund,Transient-Party,Agent,91-180 Days,1,0,0.0,100.8,4.0
Resort Hotel,Online TA,No Deposit,Transient,Company,31-90 Days,3,0,0.0,106.5,3.67
Resort Hotel,Offline TA/TO,Non Refund,Transient-Party,Agent,181-365 Days,1,0,0.0,66.3,4.0
Resort Hotel,Direct,No Deposit,Transient,Company,91-180 Days,1,0,0.0,212.6,7.0
Resort Hotel,Offline TA/TO,No Deposit,Contract,Direct,0-30 Days,1,0,0.0,100.0,3.0
Resort Hotel,Groups,No Deposit,Group,Company,0-30 Days,1,0,0.0,50.0,1.0
Resort Hotel,Groups,No Deposit,Transient,Direct,181-365 Days,4,0,0.0,92.17,4.75
Resort Hotel,Groups,No Deposit,Transient,Direct,365+ Days,1,0,0.0,97.0,7.0
Resort Hotel,Direct,No Deposit,Group,Agent,91-180 Days,3,0,0.0,153.03,4.33
Resort Hotel,Complementary,No Deposit,Transient-Party,Agent,31-90 Days,1,0,0.0,7.0,2.0
Resort Hotel,Complementary,No Deposit,Transient-Party,Agent,91-180 Days,1,0,0.0,0.0,4.0
Resort Hotel,Corporate,No Deposit,Group,Company,91-180 Days,1,0,0.0,60.0,2.0
Resort Hotel,Groups,No Deposit,Contract,Agent,31-90 Days,8,0,0.0,79.63,6.5
Resort Hotel,Groups,No Deposit,Contract,Agent,91-180 Days,17,0,0.0,84.68,8.82
Resort Hotel,Online TA,No Deposit,Transient-Party,Direct,181-365 Days,1,0,0.0,67.5,7.0
Resort Hotel,Online TA,No Deposit,Transient-Party,Direct,31-90 Days,1,0,0.0,99.25,7.0
Resort Hotel,Offline TA/TO,No Deposit,Group,Company,181-365 Days,1,0,0.0,87.13,7.0
Resort Hotel,Online TA,No Deposit,Transient-Party,Direct,91-180 Days,1,0,0.0,173.67,6.0
Resort Hotel,Offline TA/TO,No Deposit,Transient,Company,181-365 Days,1,0,0.0,96.4,7.0
Resort Hotel,Offline TA/TO,No Deposit,Contract,Company,91-180 Days,1,0,0.0,163.4,7.0
Resort Hotel,Online TA,Non Refund,Transient-Party,Direct,0-30 Days,1,0,0.0,245.0,1.0
Resort Hotel,Offline TA/TO,No Deposit,Transient-Party,Company,181-365 Days,1,0,0.0,141.0,1.0
Resort Hotel,Corporate,No Deposit,Group,Company,31-90 Days,1,0,0.0,135.0,3.0
Resort Hotel,Offline TA/TO,No Deposit,Contract,Company,0-30 Days,2,0,0.0,135.0,10.5
City Hotel,Offline TA/TO,No Deposit,Transient,Agent,0-30 Days,1386,137,9.88,83.28,2.88
City Hotel,Online TA,No Deposit,Transient,Agent,31-90 Days,10100,4090,40.5,120.39,3.37
City Hotel,Online TA,No Deposit,Transient,Agent,91-180 Days,7611,3377,44.37,122.42,3.74
City Hotel,Groups,No Deposit,Transient-Party,Agent,0-30 Days,479,71,14.82,103.22,2.82
City Hotel,Groups,No Deposit,Transient-Party,Agent,31-90 Days,459,67,14.6,74.15,2.79
City Hotel,Offline TA/TO,No Deposit,Transient,Agent,91-180 Days,1084,186,17.16,86.24,4.01
City Hotel,Online TA,No Deposit,Transient-Party,Agent,31-90 Days,365,41,11.23,105.71,3.21
City Hotel,Offline TA/TO,No Deposit,Transient,Agent,31-90 Days,1543,189,12.25,82.72,3.54
City Hotel,Complementary,No Deposit,Transient,Direct,31-90 Days,22,3,13.64,7.72,2.27
City Hotel,Direct,No Deposit,Transient-Party,Direct,31-90 Days,56,23,41.07,125.05,3.23
City Hotel,Online TA,No Deposit,Transient,Agent,0-30 Days,10555,2710,25.68,122.53,2.77
City Hotel,Groups,No Deposit,Transient,Agent,31-90 Days,8,2,25.0,84.92,2.38
City Hotel,Direct,No Deposit,Transient,Agent,31-90 Days,847,174,20.54,126.17,3.37
City Hotel,Offline TA/TO,No Deposit,Transient-Party,Agent,0-30 Days,488,50,10.25,84.12,2.44
City Hotel,Offline TA/TO,No Deposit,Transient-Party,Agent,91-180 Days,691,136,19.68,92.31,3.22
City Hotel,Online TA,No Deposit,Transient-Party,Agent,91-180 Days,552,64,11.59,113.6,3.34
City Hotel,Direct,No Deposit,Transient,Direct,0-30 Days,1632,205,12.56,109.98,1.95
City Hotel,Groups,No Deposit,Transient,Agent,0-30 Days,54,13,24.07,71.88,3.04
City Hotel,Groups,Non Refund,Transient-Party,Agent,0-30 Days,2,2,100.0,62.0,2.0
City Hotel,Direct,No Deposit,Transient,Agent,91-180 Days,667,130,19.49,128.6,3.97
City Hotel,Groups,No Deposit,Transient-Party,Agent,91-180 Days,321,47,14.64,72.42,2.62
City Hotel,Corporate,No Deposit,Transient,Company,0-30 Days,1308,116,8.87,79.51,1.75
City Hotel,Complementary,No Deposit,Transient,Direct,0-30 Days,158,17,10.76,2.38,1.53
City Hotel,Direct,No Deposit,Transient-Party,Direct,0-30 Days,107,9,8.41,99.54,2.76
City Hotel,Undefined,No Deposit,Transient-Party,Direct,0-30 Days,2,2,100.0,15.0,1.5
City Hotel,Groups,Non Refund,Transient,Agent,31-90 Days,48,48,100.0,102.23,2.33
City Hotel,Online TA,No Deposit,Contract,Agent,0-30 Days,847,144,17.0,117.85,3.02
City Hotel,Complementary,No Deposit,Transient,Company,0-30 Days,245,26,10.61,1.93,1.41
City Hotel,Corporate,No Deposit,Group,Company,0-30 Days,12,3,25.0,100.33,2.58
City Hotel,Direct,No Deposit,Transient,Agent,0-30 Days,1368,200,14.62,132.45,2.84
City Hotel,Corporate,No Deposit,Transient-Party,Company,0-30 Days,324,43,13.27,82.41,1.98
City Hotel,Direct,No Deposit,Transient-Party,Agent,0-30 Days,39,3,7.69,115.32,2.1
City Hotel,Direct,No Deposit,Transient-Party,Agent,91-180 Days,72,5,6.94,111.59,3.49
City Hotel,Online TA,No Deposit,Transient,Company,0-30 Days,41,3,7.32,102.09,2.41
City Hotel,Online TA,No Deposit,Transient-Party,Agent,0-30 Days,291,38,13.06,106.16,2.44
City Hotel,Direct,No Deposit,Group,Agent,0-30 Days,27,1,3.7,118.59,2.78
City Hotel,Online TA,No Deposit,Transient-Party,Direct,91-180 Days,2,0,0.0,73.53,2.0
City Hotel,Online TA,No Deposit,Transient,Direct,91-180 Days,2,0,0.0,125.92,3.0
City Hotel,Online TA,No Deposit,Contract,Company,0-30 Days,2,0,0.0,98.5,3.5
City Hotel,Offline TA/TO,No Deposit,Transient,Direct,0-30 Days,9,3,33.33,70.89,2.56
City Hotel,Online TA,No Deposit,Transient,Direct,0-30 Days,118,11,9.32,115.77,1.76
City Hotel,Online TA,No Deposit,Transient-Party,Company,0-30 Days,4,0,0.0,89.25,1.75
City Hotel,Online TA,No Deposit,Contract,Direct,0-30 Days,5,0,0.0,43.17,3.4
City Hotel,Offline TA/TO,No Deposit,Transient-Party,Agent,31-90 Days,558,87,15.59,88.82,2.61
City Hotel,Corporate,Non Refund,Transient,Company,0-30 Days,4,4,100.0,81.75,2.25
City Hotel,Corporate,No Deposit,Transient,Agent,0-30 Days,97,10,10.31,78.78,1.96
City Hotel,Complementary,No Deposit,Transient,Agent,0-30 Days,44,6,13.64,0.0,1.23
City Hotel,Direct,No Deposit,Contract,Agent,0-30 Days,1,1,100.0,75.0,2.0
City Hotel,Groups,Non Refund,Transient,Agent,91-180 Days,77,77,100.0,99.66,2.52
