country,customer_type,agent_campany,is_repeated_guest,total_bookings,canceled_bookings,avg_adr,estimated_revenue,cancellation_rate
BHR,Transient,Agent,0,5,4,145.33,2087.55,80.0
Unknown,Transient-Party,Company,0,11,0,33.36,618.0,0.0
PRT,Transient,Agent,1,646,60,60.89,112160.16,9.29
Unknown,Group,Agent,0,5,0,55.92,681.2,0.0
Unknown,Transient-Party,Direct,0,10,0,137.82,5377.41,0.0
Unknown,Transient-Party,Agent,0,10,2,52.67,2028.48,20.0
CYP,Transient,Company,0,8,0,67.13,1224.0,0.0
PRT,Contract,Agent,1,19,13,67.58,6726.89,68.42
ESP,Transient,Agent,1,30,1,56.28,3271.25,3.33
PRT,Group,Agent,1,83,4,70.56,12326.23,4.82
PRT,Transient,Direct,1,484,34,69.29,96353.43,7.02
Unknown,Transient,Direct,1,2,0,147.93,1435.16,0.0
PRT,Transient-Party,Agent,1,82,24,70.83,13852.81,29.27
Unknown,Transient-Party,Agent,1,1,0,75.0,75.0,0.0
GBR,Transient-Party,Company,1,5,0,44.6,863.0,0.0
PRT,Transient-Party,Company,1,120,8,57.08,10291.99,6.67
PRT,Transient,Company,1,1380,90,57.07,127737.6,6.52
GBR,Transient-Party,Agent,1,6,0,24.69,555.77,0.0
PRT,Transient-Party,Direct,1,30,3,79.96,6352.62,10.0
IRL,Transient,Agent,1,19,2,80.17,9037.09,10.53
GBR,Transient-Party,Direct,1,6,0,100.24,1340.01,0.0
ITA,Transient,Direct,1,7,0,71.11,1189.2,0.0
PRT,Group,Direct,1,13,0,83.89,1590.6,0.0
GBR,Contract,Agent,1,12,0,72.99,9288.5,0.0
GBR,Group,Agent,1,14,0,76.79,4675.09,0.0
IRL,Transient-Party,Agent,1,1,0,42.14,294.98,0.0
USA,Group,Agent,0,13,0,97.43,2530.59,0.0
BRA,Contract,Agent,0,16,0,97.96,7568.21,0.0
NOR,Contract,Agent,0,8,0,131.41,4428.11,0.0
CHE,Contract,Agent,0,23,0,105.16,10273.74,0.0
NZL,Transient,Direct,0,2,0,130.0,578.0,0.0
ROU,Transient-Party,Direct,0,3,0,147.47,3722.0,0.0
ITA,Transient,Agent,1,10,1,124.06,4774.98,10.0
ESP,Transient,Direct,1,19,2,94.67,3582.7,10.53
GBR,Transient,Agent,1,35,0,71.48,11637.17,0.0
AUT,Transient,Company,0,18,1,100.33,3940.0,5.56
ESP,Transient,Company,0,78,1,96.26,15438.37,1.28
NZL,Transient,Agent,0,47,4,116.85,14198.87,8.51
USA,Transient,Agent,1,9,0,102.9,2598.68,0.0
LUX,Transient-Party,Agent,0,21,2,120.96,8078.84,9.52
NOR,Transient,Company,0,5,0,102.6,913.0,0.0
FRA,Transient-Party,Direct,1,2,0,102.5,799.0,0.0
BRA,Transient,Direct,0,85,1,111.04,29048.4,1.18
ITA,Group,Direct,0,1,0,134.0,134.0,0.0
NLD,Group,Agent,0,4,0,103.14,1484.99,0.0
IRL,Transient-Party,Direct,0,27,0,85.68,13073.92,0.0
ITA,Transient-Party,Company,1,5,0,79.73,1658.01,0.0
ITA,Transient-Party,Direct,0,31,0,101.98,10322.4,0.0
CZE,Transient-Party,Agent,0,18,0,90.41,5745.5,0.0
THA,Transient,Agent,0,33,16,136.67,13383.8,48.48
BEL,Contract,Agent,0,50,0,113.3,18311.36,0.0
USA,Contract,Agent,0,18,0,122.35,6190.71,0.0
ITA,Transient,Direct,0,57,1,112.44,17407.81,1.75
LVA,Contract,Agent,0,3,0,89.35,1904.5,0.0
FRA,Group,Agent,1,3,0,98.26,580.21,0.0
FRA,Transient,Agent,1,25,2,79.21,5746.6,8.0
IRL,Group,Agent,1,1,0,71.1,71.1,0.0
AUS,Transient,Direct,0,12,0,135.92,2569.0,0.0
CN,Contract,Agent,0,6,0,91.29,2057.32,0.0
DEU,Transient,Agent,1,9,0,84.13,1487.25,0.0
DEU,Group,Agent,0,20,0,77.14,5087.22,0.0
ESP,Group,Agent,0,18,0,77.0,2411.13,0.0
PRT,Group,Company,1,15,0,58.45,2489.24,0.0
DOM,Transient,Agent,0,9,6,121.63,5334.9,66.67
MKD,Transient,Agent,0,1,0,108.75,870.0,0.0
GBR,Transient,Direct,1,22,0,63.09,5416.35,0.0
NLD,Transient-Party,Company,1,1,0,47.0,188.0,0.0
PRI,Transient,Direct,0,1,0,58.0,58.0,0.0
MYS,Transient,Agent,0,17,3,85.23,4693.98,17.65
FRA,Transient-Party,Direct,0,54,3,121.47,21813.5,5.56
NLD,Transient,Direct,1,9,0,62.01,1971.6,0.0
NOR,Transient,Agent,1,1,0,55.08,165.24,0.0
USA,Transient-Party,Company,0,13,0,83.95,3283.3,0.0
MEX,Transient-Party,Company,0,3,0,89.7,991.99,0.0
HUN,Transient-Party,Agent,0,20,0,127.49,11945.41,0.0
AUT,Group,Company,1,1,0,50.0,200.0,0.0
GRC,Transient-Party,Agent,0,12,2,134.93,6342.0,16.67
CZE,Transient,Company,0,7,0,80.43,1443.0,0.0
GBR,Group,Direct,1,2,0,64.5,217.0,0.0
CHE,Transient-Party,Company,0,5,0,99.0,1875.0,0.0
AUS,Transient-Party,Company,0,3,0,97.4,1263.0,0.0
AUS,Group,Company,1,1,0,50.0,200.0,0.0
GIB,Transient-Party,Agent,0,3,0,113.0,735.0,0.0
UKR,Transient,Direct,0,3,0,102.33,350.0,0.0
ARM,Transient,Agent,0,7,2,105.13,1875.1,28.57
RUS,Transient,Direct,0,7,0,114.6,1749.8,0.0
RUS,Transient,Direct,1,2,0,19.0,38.0,0.0
JPN,Transient,Agent,0,144,24,123.68,52032.56,16.67
JPN,Transient,Agent,1,1,0,71.69,71.69,0.0
CHN,Transient,Direct,0,28,1,97.14,4145.96,3.57
LKA,Transient,Agent,0,4,0,80.58,966.9,0.0
CHN,Transient,Agent,1,5,0,84.36,561.84,0.0
BEL,Transient,Direct,1,5,1,110.0,1000.0,20.0
CUB,Transient,Agent,0,5,0,87.89,1456.38,0.0
ITA,Group,Agent,0,9,0,96.09,1887.2,0.0
COL,Group,Agent,0,1,0,50.8,101.6,0.0
NOR,Transient,Direct,0,9,0,109.19,3033.5,0.0
MAR,Group,Agent,0,1,0,32.3,64.6,0.0
CMR,Transient,Agent,0,9,0,79.25,3014.98,0.0
CHN,Transient-Party,Direct,0,7,0,76.0,975.0,0.0
GRC,Transient,Direct,0,3,0,77.0,645.0,0.0
MAR,Transient,Direct,0,14,1,93.09,2997.05,7.14
IND,Transient,Direct,0,3,0,51.0,211.0,0.0
CHN,Transient,Direct,1,3,0,35.0,105.0,0.0
POL,Transient,Agent,1,3,0,78.0,762.0,0.0
NLD,Transient,Company,1,3,0,22.0,102.0,0.0
NZL,Transient,Company,0,2,0,71.65,716.5,0.0
AUS,Transient,Company,0,4,0,95.75,1641.0,0.0
SWE,Group,Agent,0,3,0,84.05,765.96,0.0
BIH,Transient,Direct,0,2,0,85.5,171.0,0.0
MUS,Transient,Agent,0,7,1,96.22,2424.11,14.29
COM,Transient,Agent,0,2,0,165.31,330.61,0.0
SUR,Transient,Agent,0,4,0,102.25,1755.0,0.0
FRA,Transient,Direct,1,7,0,105.96,2265.09,0.0
FIN,Transient,Agent,1,1,0,58.0,58.0,0.0
JAM,Transient,Agent,0,4,0,107.93,1523.17,0.0
DEU,Transient-Party,Direct,0,46,0,84.39,12727.66,0.0
AUT,Transient-Party,Direct,0,16,0,89.61,7307.97,0.0
ITA,Transient-Party,Direct,1,6,0,72.0,1217.0,0.0
CHE,Transient-Party,Direct,0,10,0,90.7,2431.0,0.0
DEU,Transient-Party,Direct,1,2,0,80.0,720.0,0.0
UGA,Transient,Agent,0,2,0,84.5,255.0,0.0
BRA,Transient-Party,Company,0,8,0,80.5,1962.0,0.0
FIN,Transient-Party,Agent,0,26,2,92.27,9739.44,7.69
CUB,Transient-Party,Agent,0,1,0,25.0,25.0,0.0
BGR,Transient,Agent,0,57,9,117.4,23395.72,15.79
ESP,Transient,Company,1,28,2,95.25,4345.0,7.14
DEU,Transient,Direct,1,4,0,90.27,1106.3,0.0
CIV,Transient,Agent,0,5,2,129.5,3034.0,40.0
CIV,Group,Agent,0,1,0,72.0,144.0,0.0
JOR,Transient,Agent,0,14,3,112.02,4016.06,21.43
SYR,Transient-Party,Agent,0,1,0,54.0,108.0,0.0
IRL,Transient-Party,Company,0,10,0,102.5,4135.0,0.0
NLD,Transient-Party,Direct,0,10,0,109.02,4943.6,0.0
BEL,Transient-Party,Company,1,1,0,44.0,176.0,0.0
EST,Transient,Direct,0,3,0,91.67,891.0,0.0
ARG,Transient,Direct,0,13,0,108.42,2600.09,0.0
IND,Group,Agent,0,1,0,90.0,270.0,0.0
AUS,Transient-Party,Direct,0,4,0,96.88,1614.3,0.0
RUS,Transient-Party,Direct,0,4,0,57.5,796.0,0.0
NLD,Transient,Company,0,16,0,80.81,3710.0,0.0
PRI,Transient,Company,0,1,0,39.0,39.0,0.0
PRI,Transient,Company,1,6,0,70.33,747.0,0.0
JPN,Transient,Company,0,3,0,143.13,4169.38,0.0
ITA,Group,Agent,1,1,0,99.0,99.0,0.0
NLD,Group,Direct,1,2,0,128.0,256.0,0.0
IRL,Transient,Direct,1,6,0,69.22,3353.82,0.0
SGP,Transient-Party,Agent,0,5,0,87.2,958.0,0.0
BDI,Transient-Party,Agent,0,1,0,46.0,92.0,0.0
GBR,Transient,Company,1,3,1,60.0,360.0,33.33
POL,Transient,Company,0,6,0,86.94,1659.01,0.0
GBR,Group,Company,0,5,0,68.63,925.91,0.0
GBR,Group,Direct,0,5,0,91.2,456.0,0.0
GBR,Group,Company,1,2,0,70.0,140.0,0.0
CN,Transient,Agent,1,2,0,79.6,477.6,0.0
FIN,Transient,Company,0,4,0,91.5,1097.0,0.0
CN,Group,Agent,0,7,0,88.06,1182.4,0.0
SAU,Transient,Agent,0,41,29,127.31,28485.32,70.73
SGP,Transient,Agent,0,28,12,107.18,8318.9,42.86
LBN,Transient,Direct,1,1,0,169.0,169.0,0.0
CHL,Transient-Party,Agent,0,16,0,112.41,4876.48,0.0
VNM,Transient,Agent,0,7,2,114.63,2197.15,28.57
PLW,Transient,Agent,0,1,0,136.29,954.03,0.0
USA,Transient,Direct,1,7,1,102.96,1664.0,14.29
ARE,Transient-Party,Agent,0,1,0,207.0,1035.0,0.0
ARE,Transient,Direct,0,1,0,180.0,900.0,0.0
QAT,Transient,Agent,0,12,10,155.82,7683.91,83.33
IRL,Group,Direct,1,1,0,126.66,1773.24,0.0
LUX,Group,Agent,1,1,0,179.4,1255.8,0.0
FRA,Group,Direct,0,2,0,196.0,392.0,0.0
CN,Transient,Company,0,3,0,131.83,745.0,0.0
FRA,Group,Agent,0,53,0,82.86,16288.34,0.0
DZA,Transient-Party,Direct,0,3,0,192.33,1141.0,0.0
EGY,Transient,Agent,0,22,10,132.87,11768.84,45.45
PER,Transient,Agent,0,17,6,137.92,6020.62,35.29
BLR,Transient-Party,Agent,0,2,0,99.21,666.01,0.0
IRL,Transient-Party,Direct,1,1,0,125.5,1129.5,0.0
THA,Transient-Party,Agent,0,6,0,96.5,789.0,0.0
CZE,Transient,Direct,0,4,0,116.23,3109.4,0.0
LVA,Group,Agent,0,1,0,94.5,378.0,0.0
RUS,Transient,Company,0,6,0,80.0,565.0,0.0
NZL,Transient-Party,Agent,0,11,0,94.17,3025.02,0.0
GBR,Contract,Direct,0,1,0,100.0,300.0,0.0
OMN,Transient-Party,Agent,0,7,3,90.41,2420.36,42.86
OMN,Transient-Party,Company,0,1,0,50.0,50.0,0.0
SUR,Transient-Party,Company,0,1,0,56.0,224.0,0.0
DNK,Transient-Party,Company,0,8,0,80.91,2137.0,0.0
SWE,Transient-Party,Direct,0,23,0,80.74,7359.0,0.0
AUT,Transient-Party,Direct,1,3,0,65.0,820.0,0.0
CHL,Transient-Party,Direct,0,1,0,81.0,729.0,0.0
ROU,Transient,Direct,0,5,0,99.2,838.0,0.0
CN,Transient,Direct,1,3,0,68.33,205.0,0.0
LTU,Transient-Party,Agent,0,6,0,122.02,6374.25,0.0
UKR,Transient-Party,Agent,0,7,0,35.34,442.4,0.0
BEL,Transient,Agent,1,5,0,99.98,3244.2,0.0
BRA,Transient,Agent,1,5,0,31.98,528.9,0.0
BRA,Group,Agent,1,2,0,53.5,258.0,0.0
IND,Transient-Party,Agent,0,11,0,86.02,2834.75,0.0
MLT,Transient,Agent,0,13,5,97.37,4567.54,38.46
SVN,Transient-Party,Agent,0,9,2,92.64,1611.4,22.22
ESP,Group,Agent,1,4,0,74.3,504.2,0.0
SWE,Transient,Direct,1,4,1,75.0,780.0,25.0
SWE,Transient,Agent,1,4,0,87.07,1280.01,0.0
MWI,Transient,Agent,0,1,0,86.0,172.0,0.0
MWI,Transient,Direct,0,1,0,80.0,80.0,0.0
LVA,Transient,Direct,0,1,0,106.0,212.0,0.0
ECU,Transient,Direct,0,1,0,39.0,39.0,0.0
Unknown,Transient,Company,1,1,0,0.0,0.0,0.0
MAR,Transient,Company,0,1,0,68.0,136.0,0.0
BGR,Transient,Company,0,1,0,44.0,44.0,0.0
CHE,Group,Agent,0,7,0,71.3,1770.88,0.0
NLD,Transient-Party,Agent,1,2,0,70.5,141.0,0.0
MYS,Transient-Party,Agent,0,4,0,83.23,980.58,0.0
MDG,Transient,Direct,0,1,0,44.0,44.0,0.0
ISR,Transient-Party,Agent,0,79,1,85.13,15485.18,1.27
BRA,Transient-Party,Direct,0,22,2,90.54,4400.88,9.09
IDN,Transient-Party,Direct,0,1,0,55.0,165.0,0.0
IND,Transient-Party,Direct,0,1,0,55.0,165.0,0.0
POL,Transient,Direct,1,1,0,49.1,49.1,0.0
ISL,Transient,Agent,0,15,4,135.91,9819.86,26.67
ISL,Transient,Agent,1,1,0,45.67,411.03,0.0
TUR,Transient-Party,Direct,0,8,0,74.54,1119.3,0.0
BRA,Transient,Company,0,8,0,81.22,4102.46,0.0
CAF,Transient-Party,Agent,0,2,0,106.0,212.0,0.0
AGO,Transient-Party,Agent,0,6,2,81.83,1739.0,33.33
UZB,Transient,Direct,0,1,0,60.0,60.0,0.0
DNK,Transient,Direct,0,12,0,98.6,4971.69,0.0
RUS,Group,Agent,0,3,0,79.67,426.0,0.0
FIN,Transient,Direct,1,1,0,77.0,77.0,0.0
BEL,Transient-Party,Direct,0,20,0,89.1,7252.7,0.0
URY,Transient-Party,Company,0,4,0,94.5,756.0,0.0
USA,Transient-Party,Direct,0,10,0,108.57,3553.6,0.0
HUN,Transient-Party,Direct,0,4,0,67.78,678.3,0.0
COL,Transient-Party,Agent,0,10,0,113.82,4018.02,0.0
IND,Transient,Company,0,2,0,119.97,239.95,0.0
SVK,Transient-Party,Direct,0,1,0,75.0,525.0,0.0
ECU,Transient,Agent,0,22,7,133.28,9921.19,31.82
AGO,Transient,Direct,1,11,2,108.65,6061.0,18.18
NPL,Transient,Agent,0,1,0,85.0,255.0,0.0
SRB,Transient-Party,Agent,0,26,0,94.96,6146.0,0.0
CPV,Transient,Agent,0,19,12,95.23,14514.68,63.16
IRN,Transient-Party,Agent,0,12,0,140.58,6517.8,0.0
BEL,Transient,Company,0,19,1,98.62,7091.99,5.26
SRB,Transient,Company,0,1,0,89.0,89.0,0.0
BRA,Transient,Direct,1,5,0,135.64,1631.82,0.0
CZE,Contract,Agent,0,5,0,96.75,1814.5,0.0
RUS,Transient-Party,Company,0,14,2,76.14,3086.0,14.29
SVN,Transient-Party,Company,0,2,0,90.0,720.0,0.0
BHS,Contract,Agent,0,1,0,50.85,355.95,0.0
LBN,Transient-Party,Direct,0,1,0,91.0,364.0,0.0
HUN,Transient,Direct,0,6,0,80.47,1712.84,0.0
CUB,Transient,Direct,0,2,0,165.25,330.5,0.0
CHE,Transient,Agent,1,1,0,140.0,140.0,0.0
MAC,Transient-Party,Agent,0,1,0,120.0,120.0,0.0
CYP,Transient,Direct,0,3,0,93.0,573.0,0.0
TGO,Transient,Agent,0,2,0,105.75,1784.5,0.0
COL,Transient-Party,Company,0,2,0,110.0,320.0,0.0
KAZ,Transient,Direct,0,1,0,173.0,173.0,0.0
TWN,Transient-Party,Agent,0,4,0,159.5,1276.0,0.0
TWN,Transient,Agent,0,37,13,120.78,13278.0,35.14
GBR,Contract,Company,0,3,0,144.47,3978.8,0.0
DJI,Transient,Agent,0,1,0,273.0,273.0,0.0
ZAF,Transient-Party,Agent,0,5,0,141.33,2950.01,0.0
VNM,Transient-Party,Agent,0,1,0,183.75,551.25,0.0
